Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 30, 2018",15.06,15.16,14.11,14.31,"83,765,800","1,632,170,348"
"Apr 29, 2018",15.16,15.40,14.56,15.06,"105,495,000","1,717,028,472"
"Apr 28, 2018",14.28,15.33,14.23,15.20,"122,360,000","1,733,439,014"
"Apr 27, 2018",14.65,14.77,14.18,14.33,"101,995,000","1,634,109,050"
"Apr 26, 2018",13.35,14.71,13.25,14.65,"127,788,000","1,671,115,449"
"Apr 25, 2018",15.21,15.93,13.05,13.29,"144,820,992","1,515,711,383"
"Apr 24, 2018",13.65,15.62,13.65,15.27,"165,599,008","1,740,954,335"
"Apr 23, 2018",12.88,13.83,12.85,13.63,"132,041,000","1,553,846,790"
"Apr 22, 2018",13.35,13.35,12.86,12.88,"84,873,000","1,468,384,247"
"Apr 21, 2018",12.57,13.67,12.44,13.38,"141,582,000","1,525,689,996"
"Apr 20, 2018",12.35,12.72,11.93,12.58,"86,036,096","1,434,092,031"
"Apr 19, 2018",12.26,12.43,12.04,12.35,"78,661,696","1,408,706,440"
"Apr 18, 2018",11.79,12.39,11.53,12.28,"90,015,104","1,399,936,665"
"Apr 17, 2018",12.23,12.46,11.67,11.77,"77,537,400","1,342,197,560"
"Apr 16, 2018",13.05,13.06,12.08,12.21,"75,965,504","1,392,444,152"
"Apr 15, 2018",13.30,13.58,12.92,13.06,"115,373,000","1,489,242,399"
"Apr 14, 2018",13.45,13.84,12.99,13.24,"94,980,800","1,539,815,189"
"Apr 13, 2018",13.15,13.76,12.75,13.54,"148,215,008","1,573,810,083"
"Apr 12, 2018",12.42,12.95,11.91,12.95,"133,239,000","1,505,878,427"
"Apr 11, 2018",12.04,12.23,11.78,12.23,"92,759,696","1,421,984,054"
"Apr 10, 2018",11.91,12.40,11.85,12.04,"87,608,200","1,399,347,919"
"Apr 09, 2018",12.12,12.55,11.61,11.87,"80,643,696","1,379,827,596"
"Apr 08, 2018",12.51,12.51,12.12,12.12,"79,045,000","1,408,811,614"
"Apr 07, 2018",12.27,12.63,12.27,12.46,"87,924,896","1,448,119,662"
"Apr 06, 2018",12.49,12.64,12.04,12.26,"81,989,696","1,425,181,248"
"Apr 05, 2018",12.20,12.62,12.14,12.45,"103,864,000","1,447,875,513"
"Apr 04, 2018",13.29,13.44,12.00,12.19,"119,600,000","1,417,275,459"
"Apr 03, 2018",12.64,13.95,12.33,13.36,"141,287,008","1,553,336,414"
"Apr 02, 2018",11.07,12.65,11.02,12.62,"116,071,000","1,467,302,827"
"Apr 01, 2018",11.15,11.30,10.38,11.07,"87,918,096","1,286,574,163"
