Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 31, 2020",18.59,18.84,17.85,18.21,"245,035,922","2,832,476,037"
"Jan 30, 2020",17.92,18.70,17.73,18.59,"264,686,498","2,891,490,938"
"Jan 29, 2020",18.07,18.43,17.88,17.91,"221,674,739","2,786,094,248"
"Jan 28, 2020",17.68,18.12,17.50,18.12,"257,579,475","2,817,568,636"
"Jan 27, 2020",17.44,17.90,17.28,17.69,"227,584,506","2,751,653,009"
"Jan 26, 2020",16.97,17.49,16.87,17.44,"248,646,036","2,712,347,641"
"Jan 25, 2020",17.05,17.11,16.60,16.98,"208,315,919","2,640,407,667"
"Jan 24, 2020",17.03,17.40,16.49,17.05,"213,341,615","2,651,498,156"
"Jan 23, 2020",17.81,17.82,16.79,17.02,"221,009,513","2,647,453,375"
"Jan 22, 2020",18.12,18.35,17.60,17.80,"237,634,401","2,768,298,455"
"Jan 21, 2020",17.33,18.15,17.17,18.13,"295,922,233","2,819,517,646"
"Jan 20, 2020",17.39,17.55,16.86,17.33,"245,125,919","2,694,716,492"
"Jan 19, 2020",17.83,18.44,16.84,17.37,"266,285,621","2,701,556,607"
"Jan 18, 2020",18.13,18.31,17.56,17.82,"257,317,647","2,772,273,817"
"Jan 17, 2020",17.11,18.36,17.09,18.14,"347,229,168","2,820,689,255"
"Jan 16, 2020",17.65,17.66,16.44,17.08,"260,423,404","2,656,091,975"
"Jan 15, 2020",16.60,18.10,16.39,17.65,"380,806,616","2,745,971,388"
"Jan 14, 2020",15.22,16.79,15.19,16.63,"299,316,969","2,585,972,299"
"Jan 13, 2020",15.32,15.36,14.99,15.23,"211,785,744","2,368,399,884"
"Jan 12, 2020",14.95,15.47,14.87,15.32,"231,150,158","2,383,146,449"
"Jan 11, 2020",15.02,15.25,14.78,14.95,"201,663,503","2,324,702,656"
"Jan 10, 2020",14.48,15.03,14.18,15.03,"200,173,072","2,337,067,557"
"Jan 09, 2020",14.59,14.61,14.31,14.50,"169,699,829","2,255,020,118"
"Jan 08, 2020",15.02,15.24,14.34,14.60,"183,632,222","2,271,292,397"
"Jan 07, 2020",14.97,15.14,14.57,15.01,"191,948,560","2,334,489,402"
"Jan 06, 2020",14.11,15.00,14.11,14.96,"224,800,409","2,326,488,219"
"Jan 05, 2020",13.89,14.41,13.89,14.11,"202,552,703","2,194,781,443"
"Jan 04, 2020",13.67,13.92,13.56,13.89,"182,230,374","2,160,640,037"
"Jan 03, 2020",13.04,13.76,13.01,13.66,"173,683,857","2,124,701,780"
"Jan 02, 2020",13.70,13.72,12.99,13.03,"156,376,427","2,026,178,426"
"Jan 01, 2020",13.73,13.87,13.65,13.69,"172,980,718","2,129,155,037"
