Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2016",960.63,963.74,947.24,963.74,"99,135,104","15,492,554,222"
"Dec 30, 2016",972.53,972.53,934.83,961.24,"187,474,000","15,450,507,055"
"Dec 29, 2016",975.13,979.40,954.50,973.50,"199,320,000","15,645,617,392"
"Dec 28, 2016",934.83,975.92,934.83,975.92,"236,630,000","15,682,769,405"
"Dec 27, 2016",908.35,940.05,904.26,933.20,"167,308,000","14,994,286,713"
"Dec 26, 2016",896.91,913.18,896.90,907.61,"123,771,000","14,581,389,977"
"Dec 25, 2016",899.65,899.65,862.42,896.18,"143,664,992","14,396,194,094"
"Dec 24, 2016",922.18,923.48,886.34,898.82,"137,727,008","14,436,754,927"
"Dec 23, 2016",864.89,925.12,864.68,921.98,"275,564,000","14,807,189,352"
"Dec 22, 2016",834.18,875.78,834.15,864.54,"200,027,008","13,882,988,216"
"Dec 21, 2016",800.64,834.28,799.41,834.28,"155,576,000","13,395,445,163"
"Dec 20, 2016",792.25,801.34,791.50,800.88,"99,629,296","12,857,473,134"
"Dec 19, 2016",790.69,793.61,790.32,792.71,"74,886,400","12,725,090,633"
"Dec 18, 2016",791.01,794.74,788.03,790.53,"60,524,400","12,688,510,068"
"Dec 17, 2016",785.17,792.51,784.86,790.83,"78,989,800","12,691,945,028"
"Dec 16, 2016",778.96,785.03,778.96,784.91,"83,608,200","12,595,490,539"
"Dec 15, 2016",780.07,781.43,777.80,778.09,"81,580,096","12,484,761,985"
"Dec 14, 2016",780.01,782.03,776.84,781.48,"75,979,000","12,534,369,129"
"Dec 13, 2016",780.65,788.46,777.96,780.56,"81,645,600","12,521,776,922"
"Dec 12, 2016",770.04,781.92,770.04,780.09,"76,571,000","12,512,497,969"
"Dec 11, 2016",774.75,774.80,765.41,769.73,"57,313,400","12,344,888,048"
"Dec 10, 2016",773.02,777.09,772.91,774.65,"53,843,100","12,421,967,470"
"Dec 09, 2016",769.94,774.53,769.65,772.79,"68,705,296","12,390,863,077"
"Dec 08, 2016",768.08,774.70,765.95,770.81,"80,111,904","12,357,837,893"
"Dec 07, 2016",764.21,771.54,759.75,768.13,"96,426,096","12,313,376,414"
"Dec 06, 2016",758.72,765.62,758.72,764.22,"116,218,000","12,249,086,971"
"Dec 05, 2016",773.39,773.47,751.71,758.70,"106,363,000","12,159,115,875"
"Dec 04, 2016",771.64,773.87,768.16,773.87,"60,557,900","12,400,766,376"
"Dec 03, 2016",778.25,778.25,764.86,771.16,"69,547,296","12,355,811,709"
"Dec 02, 2016",757.54,781.30,757.54,777.94,"127,605,000","12,462,935,160"
"Dec 01, 2016",746.05,758.28,746.05,756.77,"80,461,904","12,122,431,239"
